,reviews
0,"We had a great stay! The location was convenient to everything! We found a great place for breakfast nearby (Yolk). The corner king room had a great view. Staff was excellent- Michelle was great and so helpful. When we come back, we will stay here again."
1,"My parents came to this hotel in August because I was having a family reunion at home and it was too small to accommodate them, I would like to thank the staff for their kindness and for having met the expectations of my parents, they loved their stay with you, beautiful room with all the comfort they needed, excellent breakfast, thank you"
2,"The staff was amazing and offered such great advice on tours and food options.  The hotel is perfectly located for a lot of walking options.  A ton of wonderful restaurants within a block or two.  Shopping was close by as well.  The only drawback and it’s minor, which comes from my builder husband, was they should fix the poor job of wallpapering in the bathroom.  Too late to fix, but may we suggest doing it over with a better company.  They did not do your hotel justice.  It’s evident in other areas the upgrades were spared no expense.  Just a suggestion.  By no means would this keep us from coming back!"
3,"We stayed at the kinzie this past weekend and we were greeted by Arturo Garza. He was one the the most genuine and nicest person I’ve yet encounter at a hotel. He was extremely helpful with local restaurants, things to do, and even suggested a few of his favorite spots to visit. This experience made my stay more enjoyable and I was more welcomed into the city. Thank you for everything Arturo!  Highly recommend"
4,"The staff was very welcoming from walking through the doors. The suite, omg, the pictures are nothing compared. It was beautiful and we will definitely be back. Thank you for the hospitality and the breakfast"
5,"It was the first time my friends and I stayed at the Kinzie Hotel and we were so happy Arturo took such good care of us. Arturo made our check-in process very easy and was cheerful through out the whole process. He also explained to us about the Happy Hour the hotel offers, and he brought us some cute little wine bottles we had picked from the variety he offered from. Arturo made us feel delighted when we were around him, very nice hotel and excellent service!  Definitely coming back soon! "
6,"I had the pleasure of staying at the Kinzie hotel while waiting on my apartment to be ready. I would like to say the front desk guy Nico was soo pleasant and amazing. He accommodated next with everything i needed, everytime i entered he gave me a warm welcome and a sense of feeling wanted.. Also there was a very nice young lady with curly hair who assisted me when i needed to extent my trip an extra day. Overall everything was perfect, clean, and neat. Will visit again one day and you can thank Nico and the nice lady with curly hair(sorry forgot your name) at the desk."
7,"We were very pleased with our stay at the Hotel. Theas very cozy, clean and comfortable. We truly enjoyed the large tube, only wishing the shower had an attachment because of my height 😊. The staff Arturo Garza was very, professional, friendly, engaging and patient, he really made feel welcome. I would definitely recommend this Hotel to all my friends and family."
8,"Great Hotel in the middle of Everything, Great Rooms, ( I had a suite), it was one of the best views of the city , I have ever had, Great , Great , Great.Walking Distance to Great Restaurants and Shopping. Evening Reception with Free , yes I said Free Wine was Great."
9,"This would be a nice hotel if it were 3 stars, but rating it as a four star hotel is unrealistic.  Our room was had mold on growing on ceiling.  The walls were banged up.  It’s definitely in need of some repairs.  The location is fabulous.  The staff were kind and courteous.  However there wasn’t enough staff.  With only one staff member, there was a long wait to check in on a Monday afternoon.  The wait to get my car was even longer the next day, at least 20 minutes.  Over $70 a day to park and with such a long wait, we should have just parked it ourselves.  The city view should be called a street view, as the building is so much lower than the others you don’t see much except for the street below and 1-2 buildings.  It’s not a bad place, just not a great place either.  "
